,,,,,,Phi,,,,,Mistral,,,,,Llama,,,,,Gemma,,,,
d_index,filename,title,name,affiliations,email,title,name,affiliations,email,Order,title,name,affiliations,email,Order,title,name,affiliations,email,Order,title,name,affiliations,email,Order
1,result_from_first_page_text_d1_arxiv_1512.03385.txt,Deep Residual Learning for Image Recognition,Kaiming He,Microsoft Research,kahe@microsoft.com,TP,TP,TP,TP,1,TP,TP,TP,FP,1,FN,FN,FN,FN,0,TP,TP,TP,TP,1
1,result_from_first_page_text_d1_arxiv_1512.03385.txt,Deep Residual Learning for Image Recognition,Xiangyu Zhang,Microsoft Research,v-xiangz@microsoft.com,,TP,TP,TP,1,,TP,TP,FN,1,,FN,FN,FN,0,,TP,TP,TP,1
1,result_from_first_page_text_d1_arxiv_1512.03385.txt,Deep Residual Learning for Image Recognition,Shaoqing Ren,Microsoft Research,v-shren@microsoft.com,,TP,TP,TP,1,,TP,TP,FN,1,,FN,FN,FN,0,,TP,TP,TP,1
1,result_from_first_page_text_d1_arxiv_1512.03385.txt,Deep Residual Learning for Image Recognition,Jian Sun,Microsoft Research,jiansun@microsoft.com,,TP,TP,TP,1,,TP,TP,FN,1,,FN,FN,FN,0,,TP,TP,TP,1
2,result_from_first_page_text_d2_arxiv_1607.01759.txt,Bag of Tricks for Efficient Text Classification,Armand Joulin,Facebook AI Research,ajoulin@fb.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FP,FP,FN,FN,1
2,result_from_first_page_text_d2_arxiv_1607.01759.txt,Bag of Tricks for Efficient Text Classification,Edouard Grave,Facebook AI Research,egrave@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,FP,FN,FN,1
2,result_from_first_page_text_d2_arxiv_1607.01759.txt,Bag of Tricks for Efficient Text Classification,Piotr Bojanowski,Facebook AI Research,bojanowski@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,FP,FN,FN,1
2,result_from_first_page_text_d2_arxiv_1607.01759.txt,Bag of Tricks for Efficient Text Classification,Tomas Mikolov,Facebook AI Research,tmikolov@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,FP,FN,FN,1
3,result_from_first_page_text_d3_arxiv_1607.04606.txt,Enriching Word Vectors with Subword Information,Piotr Bojanowski,Facebook AI Research,bojanowski@fb.com,TP,TP,TP,TP,1,TP,TP,TP,TP,1,FN,TP,TP,TP,1,TP,TP,TP,TP,1
3,result_from_first_page_text_d3_arxiv_1607.04606.txt,Enriching Word Vectors with Subword Information,Edouard Grave,Facebook AI Research,egrave@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
3,result_from_first_page_text_d3_arxiv_1607.04606.txt,Enriching Word Vectors with Subword Information,Armand Joulin,Facebook AI Research,ajoulin@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
3,result_from_first_page_text_d3_arxiv_1607.04606.txt,Enriching Word Vectors with Subword Information,Tomas Mikolov,Facebook AI Research,tmikolov@fb.com,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1,,TP,TP,TP,1
