d_index,filename,title,name,affiliations,email,Phi,,,,,Mistral,,,,,Llama,,,,,Gemma,,,,
,,,,,,title,name,affiliations,email,Order,title,name,affiliations,email,Order,title,name,affiliations,email,Order,title,name,affiliations,email,Order
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Tom B. Brown,OpenAI,NA,TP,TP,TP,TN,1,TP,TP,TP,TN,1,FN,TP,TP,TN,1,TP,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Benjamin Mann,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Nick Ryder,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Melanie Subbiah,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Jared Kaplan,OpenAI,NA,,TP,FP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,FP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Prafulla Dhariwal,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Arvind Neelakantan,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Pranav Shyam,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Girish Sastry,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Amanda Askell,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Sandhini Agarwal,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Ariel Herbert-Voss,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Gretchen Krueger,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1,,TP,TP,TN,1
33,result_from_first_page_text_d33_arxiv_2005.14165.txt,Language Models are Few-Shot Learners,Tom Henighan,OpenAI,NA,,TP,TP,TN,1,,TP,TP,TN,1,,FN,FN,TN,0,,TP,TP,TN,1
